cod_divipola,municipio,departamento,anio,semana_epidemiologica,evento_estandar,casos,poblacion,tasa_x_100k,so2_flux_ton_dia
52480,Nariño,Nariño,2020,11,EDA,1,22000,4.55,381.5
52001,Pasto,Nariño,2020,12,IRA,270,450000,60.0,808.0
52001,Pasto,Nariño,2020,12,EDA,33,450000,7.33,1029.1
52683,Sandoná,Nariño,2020,12,IRA,15,30000,50.0,265.9
52683,Sandoná,Nariño,2020,12,EDA,2,30000,6.67,493.1
52207,Consacá,Nariño,2020,12,IRA,7,14000,50.0,991.5
52207,Consacá,Nariño,2020,12,EDA,0,14000,0.0,349.7
52299,La Florida,Nariño,2020,12,IRA,5,18000,27.78,690.9
52299,La Florida,Nariño,2020,12,EDA,0,18000,0.0,731.1
52885,Yacuanquer,Nariño,2020,12,IRA,7,13000,53.85,418.4
52885,Yacuanquer,Nariño,2020,12,EDA,0,13000,0.0,465.5
52480,Nariño,Nariño,2020,12,IRA,10,22000,45.45,965.3
52480,Nariño,Nariño,2020,12,EDA,1,22000,4.55,331.7
52001,Pasto,Nariño,2020,13,IRA,196,450000,43.56,475.8
52001,Pasto,Nariño,2020,13,EDA,16,450000,3.56,861.5
52683,Sandoná,Nariño,2020,13,IRA,15,30000,50.0,464.3
52683,Sandoná,Nariño,2020,13,EDA,2,30000,6.67,690.3
52207,Consacá,Nariño,2020,13,IRA,6,14000,42.86,267.5
52207,Consacá,Nariño,2020,13,EDA,0,14000,0.0,948.8
52299,La Florida,Nariño,2020,13,IRA,11,18000,61.11,685.5
52299,La Florida,Nariño,2020,13,EDA,1,18000,5.56,714.3
52885,Yacuanquer,Nariño,2020,13,IRA,4,13000,30.77,359.4
52885,Yacuanquer,Nariño,2020,13,EDA,0,13000,0.0,961.2
52480,Nariño,Nariño,2020,13,IRA,12,22000,54.55,931.3
52480,Nariño,Nariño,2020,13,EDA,1,22000,4.55,423.9
52001,Pasto,Nariño,2020,14,IRA,163,450000,36.22,339.7
52001,Pasto,Nariño,2020,14,EDA,32,450000,7.11,948.2
52683,Sandoná,Nariño,2020,14,IRA,12,30000,40.0,743.0
52683,Sandoná,Nariño,2020,14,EDA,1,30000,3.33,983.9
52207,Consacá,Nariño,2020,14,IRA,8,14000,57.14,1020.0
52207,Consacá,Nariño,2020,14,EDA,1,14000,7.14,946.1
52299,La Florida,Nariño,2020,14,IRA,5,18000,27.78,833.3
52299,La Florida,Nariño,2020,14,EDA,0,18000,0.0,984.6
52885,Yacuanquer,Nariño,2020,14,IRA,7,13000,53.85,932.6
52885,Yacuanquer,Nariño,2020,14,EDA,0,13000,0.0,467.4
52480,Nariño,Nariño,2020,14,IRA,12,22000,54.55,343.8
52480,Nariño,Nariño,2020,14,EDA,1,22000,4.55,928.3
52001,Pasto,Nariño,2020,15,IRA,154,450000,34.22,892.3
52001,Pasto,Nariño,2020,15,EDA,24,450000,5.33,495.5
52683,Sandoná,Nariño,2020,15,IRA,16,30000,53.33,435.3
52683,Sandoná,Nariño,2020,15,EDA,1,30000,3.33,408.5
52207,Consacá,Nariño,2020,15,IRA,5,14000,35.71,929.3
52207,Consacá,Nariño,2020,15,EDA,1,14000,7.14,475.2
52299,La Florida,Nariño,2020,15,IRA,8,18000,44.44,568.8
52299,La Florida,Nariño,2020,15,EDA,1,18000,5.56,674.7
52885,Yacuanquer,Nariño,2020,15,IRA,7,13000,53.85,348.1
52885,Yacuanquer,Nariño,2020,15,EDA,0,13000,0.0,397.2
52480,Nariño,Nariño,2020,15,IRA,13,22000,59.09,464.6
52480,Nariño,Nariño,2020,15,EDA,0,22000,0.0,595.9
52001,Pasto,Nariño,2020,16,IRA,226,450000,50.22,499.0
52001,Pasto,Nariño,2020,16,EDA,26,450000,5.78,651.5
52683,Sandoná,Nariño,2020,16,IRA,11,30000,36.67,701.8
52683,Sandoná,Nariño,2020,16,EDA,1,30000,3.33,803.8
52207,Consacá,Nariño,2020,16,IRA,3,14000,21.43,971.0
52207,Consacá,Nariño,2020,16,EDA,0,14000,0.0,812.0
52299,La Florida,Nariño,2020,16,IRA,9,18000,50.0,774.3
52299,La Florida,Nariño,2020,16,EDA,0,18000,0.0,311.1
52885,Yacuanquer,Nariño,2020,16,IRA,6,13000,46.15,511.8
52885,Yacuanquer,Nariño,2020,16,EDA,0,13000,0.0,911.2
52480,Nariño,Nariño,2020,16,IRA,11,22000,50.0,488.7
52480,Nariño,Nariño,2020,16,EDA,1,22000,4.55,572.1
52001,Pasto,Nariño,2020,17,IRA,169,450000,37.56,481.1
52001,Pasto,Nariño,2020,17,EDA,16,450000,3.56,576.6
52683,Sandoná,Nariño,2020,17,IRA,16,30000,53.33,773.0
52683,Sandoná,Nariño,2020,17,EDA,2,30000,6.67,725.8
52207,Consacá,Nariño,2020,17,IRA,4,14000,28.57,674.1
52207,Consacá,Nariño,2020,17,EDA,0,14000,0.0,474.4
52299,La Florida,Nariño,2020,17,IRA,6,18000,33.33,698.6
52299,La Florida,Nariño,2020,17,EDA,1,18000,5.56,610.6
52885,Yacuanquer,Nariño,2020,17,IRA,5,13000,38.46,418.4
52885,Yacuanquer,Nariño,2020,17,EDA,0,13000,0.0,944.3
52480,Nariño,Nariño,2020,17,IRA,11,22000,50.0,384.8
52480,Nariño,Nariño,2020,17,EDA,0,22000,0.0,649.2
52001,Pasto,Nariño,2020,18,IRA,193,450000,42.89,506.0
52001,Pasto,Nariño,2020,18,EDA,30,450000,6.67,820.8
52683,Sandoná,Nariño,2020,18,IRA,13,30000,43.33,422.3
52683,Sandoná,Nariño,2020,18,EDA,1,30000,3.33,270.8
52207,Consacá,Nariño,2020,18,IRA,4,14000,28.57,611.9
52207,Consacá,Nariño,2020,18,EDA,0,14000,0.0,307.4
52299,La Florida,Nariño,2020,18,IRA,6,18000,33.33,728.9
52299,La Florida,Nariño,2020,18,EDA,0,18000,0.0,779.3
52885,Yacuanquer,Nariño,2020,18,IRA,5,13000,38.46,437.0
52885,Yacuanquer,Nariño,2020,18,EDA,0,13000,0.0,256.5
52480,Nariño,Nariño,2020,18,IRA,10,22000,45.45,835.1
52480,Nariño,Nariño,2020,18,EDA,0,22000,0.0,574.1
52001,Pasto,Nariño,2020,19,IRA,121,450000,26.89,965.0
52001,Pasto,Nariño,2020,19,EDA,25,450000,5.56,286.6
52683,Sandoná,Nariño,2020,19,IRA,8,30000,26.67,883.0
52683,Sandoná,Nariño,2020,19,EDA,1,30000,3.33,848.0
52207,Consacá,Nariño,2020,19,IRA,5,14000,35.71,987.3
52207,Consacá,Nariño,2020,19,EDA,0,14000,0.0,959.0
52299,La Florida,Nariño,2020,19,IRA,8,18000,44.44,706.9
52299,La Florida,Nariño,2020,19,EDA,1,18000,5.56,626.3
52885,Yacuanquer,Nariño,2020,19,IRA,6,13000,46.15,658.5
52885,Yacuanquer,Nariño,2020,19,EDA,0,13000,0.0,804.8
52480,Nariño,Nariño,2020,19,IRA,7,22000,31.82,442.8
52480,Nariño,Nariño,2020,19,EDA,0,22000,0.0,725.6
52001,Pasto,Nariño,2020,20,IRA,186,450000,41.33,629.2
52001,Pasto,Nariño,2020,20,EDA,29,450000,6.44,447.6
52683,Sandoná,Nariño,2020,20,IRA,6,30000,20.0,455.8
52683,Sandoná,Nariño,2020,20,EDA,1,30000,3.33,480.8
52207,Consacá,Nariño,2020,20,IRA,4,14000,28.57,347.3
52207,Consacá,Nariño,2020,20,EDA,0,14000,0.0,756.3
52299,La Florida,Nariño,2020,20,IRA,7,18000,38.89,292.7
52299,La Florida,Nariño,2020,20,EDA,0,18000,0.0,644.9
52885,Yacuanquer,Nariño,2020,20,IRA,4,13000,30.77,397.7
52885,Yacuanquer,Nariño,2020,20,EDA,0,13000,0.0,911.6
52480,Nariño,Nariño,2020,20,IRA,8,22000,36.36,757.5
52480,Nariño,Nariño,2020,20,EDA,1,22000,4.55,809.0
52001,Pasto,Nariño,2020,21,IRA,129,450000,28.67,245.5
52001,Pasto,Nariño,2020,21,EDA,24,450000,5.33,786.6
52683,Sandoná,Nariño,2020,21,IRA,12,30000,40.0,931.3
52683,Sandoná,Nariño,2020,21,EDA,1,30000,3.33,782.3
52207,Consacá,Nariño,2020,21,IRA,4,14000,28.57,677.9
52207,Consacá,Nariño,2020,21,EDA,0,14000,0.0,400.1
52299,La Florida,Nariño,2020,21,IRA,5,18000,27.78,262.3
52299,La Florida,Nariño,2020,21,EDA,0,18000,0.0,732.8
52885,Yacuanquer,Nariño,2020,21,IRA,3,13000,23.08,360.7
52885,Yacuanquer,Nariño,2020,21,EDA,0,13000,0.0,333.6
52480,Nariño,Nariño,2020,21,IRA,7,22000,31.82,260.8
52480,Nariño,Nariño,2020,21,EDA,1,22000,4.55,649.8
52001,Pasto,Nariño,2020,22,IRA,81,450000,18.0,693.1
52001,Pasto,Nariño,2020,22,EDA,21,450000,4.67,564.6
52683,Sandoná,Nariño,2020,22,IRA,5,30000,16.67,505.9
52683,Sandoná,Nariño,2020,22,EDA,1,30000,3.33,468.8
52207,Consacá,Nariño,2020,22,IRA,4,14000,28.57,505.9
52207,Consacá,Nariño,2020,22,EDA,1,14000,7.14,827.5
52299,La Florida,Nariño,2020,22,IRA,4,18000,22.22,294.9
52299,La Florida,Nariño,2020,22,EDA,0,18000,0.0,619.8
52885,Yacuanquer,Nariño,2020,22,IRA,5,13000,38.46,485.2
52885,Yacuanquer,Nariño,2020,22,EDA,0,13000,0.0,791.5
52480,Nariño,Nariño,2020,22,IRA,7,22000,31.82,772.3
52480,Nariño,Nariño,2020,22,EDA,2,22000,9.09,378.3
52001,Pasto,Nariño,2020,23,IRA,73,450000,16.22,337.7
52001,Pasto,Nariño,2020,23,EDA,23,450000,5.11,697.3
52683,Sandoná,Nariño,2020,23,IRA,8,30000,26.67,383.3
52683,Sandoná,Nariño,2020,23,EDA,2,30000,6.67,765.0
52207,Consacá,Nariño,2020,23,IRA,2,14000,14.29,654.0
52207,Consacá,Nariño,2020,23,EDA,1,14000,7.14,311.4
52299,La Florida,Nariño,2020,23,IRA,6,18000,33.33,902.6
52299,La Florida,Nariño,2020,23,EDA,0,18000,0.0,249.6
52885,Yacuanquer,Nariño,2020,23,IRA,2,13000,15.38,702.8
52885,Yacuanquer,Nariño,2020,23,EDA,1,13000,7.69,507.6
52480,Nariño,Nariño,2020,23,IRA,6,22000,27.27,284.6
52480,Nariño,Nariño,2020,23,EDA,1,22000,4.55,667.9
52001,Pasto,Nariño,2020,24,IRA,73,450000,16.22,751.5
52001,Pasto,Nariño,2020,24,EDA,46,450000,10.22,634.6
52683,Sandoná,Nariño,2020,24,IRA,5,30000,16.67,895.2
52683,Sandoná,Nariño,2020,24,EDA,2,30000,6.67,462.5
52207,Consacá,Nariño,2020,24,IRA,3,14000,21.43,478.4
52207,Consacá,Nariño,2020,24,EDA,1,14000,7.14,458.5
52299,La Florida,Nariño,2020,24,IRA,5,18000,27.78,785.4
52299,La Florida,Nariño,2020,24,EDA,0,18000,0.0,879.5
52885,Yacuanquer,Nariño,2020,24,IRA,3,13000,23.08,789.8
52885,Yacuanquer,Nariño,2020,24,EDA,1,13000,7.69,522.5
52480,Nariño,Nariño,2020,24,IRA,6,22000,27.27,882.7
52480,Nariño,Nariño,2020,24,EDA,1,22000,4.55,775.8
52001,Pasto,Nariño,2020,25,IRA,99,450000,22.0,541.7
52001,Pasto,Nariño,2020,25,EDA,37,450000,8.22,705.8
52683,Sandoná,Nariño,2020,25,IRA,5,30000,16.67,785.8
52683,Sandoná,Nariño,2020,25,EDA,3,30000,10.0,278.5
52207,Consacá,Nariño,2020,25,IRA,3,14000,21.43,382.8
52207,Consacá,Nariño,2020,25,EDA,1,14000,7.14,625.8
52299,La Florida,Nariño,2020,25,IRA,3,18000,16.67,240.1
52299,La Florida,Nariño,2020,25,EDA,2,18000,11.11,341.6
52885,Yacuanquer,Nariño,2020,25,IRA,2,13000,15.38,750.1
52885,Yacuanquer,Nariño,2020,25,EDA,0,13000,0.0,804.8
52480,Nariño,Nariño,2020,25,IRA,5,22000,22.73,404.2
52480,Nariño,Nariño,2020,25,EDA,1,22000,4.55,849.7
52001,Pasto,Nariño,2020,26,IRA,57,450000,12.67,680.5
52001,Pasto,Nariño,2020,26,EDA,42,450000,9.33,705.1
52683,Sandoná,Nariño,2020,26,IRA,6,30000,20.0,632.6
52683,Sandoná,Nariño,2020,26,EDA,2,30000,6.67,727.5
52207,Consacá,Nariño,2020,26,IRA,1,14000,7.14,358.5
52207,Consacá,Nariño,2020,26,EDA,1,14000,7.14,413.1
52299,La Florida,Nariño,2020,26,IRA,3,18000,16.67,521.0
52299,La Florida,Nariño,2020,26,EDA,1,18000,5.56,490.2
52885,Yacuanquer,Nariño,2020,26,IRA,2,13000,15.38,429.0
52885,Yacuanquer,Nariño,2020,26,EDA,1,13000,7.69,390.3
52480,Nariño,Nariño,2020,26,IRA,3,22000,13.64,293.3
52480,Nariño,Nariño,2020,26,EDA,1,22000,4.55,292.6
52001,Pasto,Nariño,2020,27,IRA,77,450000,17.11,688.4
52001,Pasto,Nariño,2020,27,EDA,35,450000,7.78,345.4
52683,Sandoná,Nariño,2020,27,IRA,4,30000,13.33,664.8
52683,Sandoná,Nariño,2020,27,EDA,4,30000,13.33,539.1
52207,Consacá,Nariño,2020,27,IRA,1,14000,7.14,272.6
52207,Consacá,Nariño,2020,27,EDA,1,14000,7.14,352.4
52299,La Florida,Nariño,2020,27,IRA,2,18000,11.11,218.3
52299,La Florida,Nariño,2020,27,EDA,1,18000,5.56,381.8
52885,Yacuanquer,Nariño,2020,27,IRA,3,13000,23.08,557.2
52885,Yacuanquer,Nariño,2020,27,EDA,1,13000,7.69,288.8
52480,Nariño,Nariño,2020,27,IRA,4,22000,18.18,517.9
52480,Nariño,Nariño,2020,27,EDA,2,22000,9.09,570.2
52001,Pasto,Nariño,2020,28,IRA,63,450000,14.0,472.4
52001,Pasto,Nariño,2020,28,EDA,38,450000,8.44,234.9
52683,Sandoná,Nariño,2020,28,IRA,5,30000,16.67,495.1
52683,Sandoná,Nariño,2020,28,EDA,4,30000,13.33,448.1
52207,Consacá,Nariño,2020,28,IRA,1,14000,7.14,587.8
52207,Consacá,Nariño,2020,28,EDA,1,14000,7.14,294.6
52299,La Florida,Nariño,2020,28,IRA,2,18000,11.11,389.0
52299,La Florida,Nariño,2020,28,EDA,2,18000,11.11,275.8
52885,Yacuanquer,Nariño,2020,28,IRA,2,13000,15.38,573.6
52885,Yacuanquer,Nariño,2020,28,EDA,1,13000,7.69,341.3
52480,Nariño,Nariño,2020,28,IRA,3,22000,13.64,478.5
52480,Nariño,Nariño,2020,28,EDA,2,22000,9.09,728.6
52001,Pasto,Nariño,2020,29,IRA,78,450000,17.33,378.4
52001,Pasto,Nariño,2020,29,EDA,61,450000,13.56,558.7
52683,Sandoná,Nariño,2020,29,IRA,4,30000,13.33,758.9
52683,Sandoná,Nariño,2020,29,EDA,2,30000,6.67,322.5
52207,Consacá,Nariño,2020,29,IRA,1,14000,7.14,290.6
52207,Consacá,Nariño,2020,29,EDA,1,14000,7.14,242.0
52299,La Florida,Nariño,2020,29,IRA,1,18000,5.56,464.4
52299,La Florida,Nariño,2020,29,EDA,2,18000,11.11,370.1
52885,Yacuanquer,Nariño,2020,29,IRA,1,13000,7.69,616.4
52885,Yacuanquer,Nariño,2020,29,EDA,1,13000,7.69,466.5
52480,Nariño,Nariño,2020,29,IRA,3,22000,13.64,744.9
52480,Nariño,Nariño,2020,29,EDA,3,22000,13.64,567.8
52001,Pasto,Nariño,2020,30,IRA,54,450000,12.0,728.0
52001,Pasto,Nariño,2020,30,EDA,56,450000,12.44,504.4
52683,Sandoná,Nariño,2020,30,IRA,3,30000,10.0,713.5
52683,Sandoná,Nariño,2020,30,EDA,5,30000,16.67,232.6
52207,Consacá,Nariño,2020,30,IRA,1,14000,7.14,368.3
52207,Consacá,Nariño,2020,30,EDA,2,14000,14.29,518.6
52299,La Florida,Nariño,2020,30,IRA,1,18000,5.56,263.0
52299,La Florida,Nariño,2020,30,EDA,2,18000,11.11,593.6
52885,Yacuanquer,Nariño,2020,30,IRA,1,13000,7.69,479.1
52885,Yacuanquer,Nariño,2020,30,EDA,1,13000,7.69,237.7
52480,Nariño,Nariño,2020,30,IRA,1,22000,4.55,439.8
52480,Nariño,Nariño,2020,30,EDA,2,22000,9.09,335.4
52001,Pasto,Nariño,2020,31,IRA,27,450000,6.0,721.3
52001,Pasto,Nariño,2020,31,EDA,81,450000,18.0,506.0
52683,Sandoná,Nariño,2020,31,IRA,3,30000,10.0,742.3
52683,Sandoná,Nariño,2020,31,EDA,4,30000,13.33,335.7
52207,Consacá,Nariño,2020,31,IRA,0,14000,0.0,606.8
52207,Consacá,Nariño,2020,31,EDA,1,14000,7.14,548.5
52299,La Florida,Nariño,2020,31,IRA,2,18000,11.11,286.7
52299,La Florida,Nariño,2020,31,EDA,2,18000,11.11,539.2
52885,Yacuanquer,Nariño,2020,31,IRA,1,13000,7.69,236.5
52885,Yacuanquer,Nariño,2020,31,EDA,1,13000,7.69,371.3
52480,Nariño,Nariño,2020,31,IRA,2,22000,9.09,663.3
52480,Nariño,Nariño,2020,31,EDA,2,22000,9.09,572.0
52001,Pasto,Nariño,2020,32,IRA,29,450000,6.44,690.0
52001,Pasto,Nariño,2020,32,EDA,85,450000,18.89,476.8
52683,Sandoná,Nariño,2020,32,IRA,2,30000,6.67,349.6
52683,Sandoná,Nariño,2020,32,EDA,3,30000,10.0,703.5
52207,Consacá,Nariño,2020,32,IRA,1,14000,7.14,457.6
52207,Consacá,Nariño,2020,32,EDA,2,14000,14.29,534.8
52299,La Florida,Nariño,2020,32,IRA,1,18000,5.56,402.9
52299,La Florida,Nariño,2020,32,EDA,2,18000,11.11,375.1
52885,Yacuanquer,Nariño,2020,32,IRA,1,13000,7.69,517.4
52885,Yacuanquer,Nariño,2020,32,EDA,2,13000,15.38,289.8
52480,Nariño,Nariño,2020,32,IRA,1,22000,4.55,680.5
52480,Nariño,Nariño,2020,32,EDA,3,22000,13.64,556.7
52001,Pasto,Nariño,2020,33,IRA,21,450000,4.67,683.4
52001,Pasto,Nariño,2020,33,EDA,79,450000,17.56,299.5
52683,Sandoná,Nariño,2020,33,IRA,1,30000,3.33,462.5
52683,Sandoná,Nariño,2020,33,EDA,5,30000,16.67,223.1
