cod_divipola,municipio,semana_epidemiologica,anio,evento_estandar,nivel_riesgo_predicho,probabilidad
52480,Nariño,19,2020,EDA,bajo,1.0
52001,Pasto,20,2020,IRA,alto,1.0
52001,Pasto,20,2020,EDA,bajo,0.999
52683,Sandoná,20,2020,IRA,medio,0.995
52683,Sandoná,20,2020,EDA,bajo,0.999
52207,Consacá,20,2020,IRA,alto,1.0
52207,Consacá,20,2020,EDA,bajo,1.0
52299,La Florida,20,2020,IRA,alto,1.0
52299,La Florida,20,2020,EDA,bajo,1.0
52885,Yacuanquer,20,2020,IRA,alto,1.0
52885,Yacuanquer,20,2020,EDA,bajo,1.0
52480,Nariño,20,2020,IRA,alto,1.0
52480,Nariño,20,2020,EDA,bajo,0.999
52001,Pasto,21,2020,IRA,alto,0.999
52001,Pasto,21,2020,EDA,bajo,0.999
52683,Sandoná,21,2020,IRA,alto,0.999
52683,Sandoná,21,2020,EDA,bajo,0.999
52207,Consacá,21,2020,IRA,alto,1.0
52207,Consacá,21,2020,EDA,bajo,1.0
52299,La Florida,21,2020,IRA,alto,1.0
52299,La Florida,21,2020,EDA,bajo,1.0
52885,Yacuanquer,21,2020,IRA,alto,1.0
52885,Yacuanquer,21,2020,EDA,bajo,1.0
52480,Nariño,21,2020,IRA,alto,1.0
52480,Nariño,21,2020,EDA,bajo,0.999
52001,Pasto,22,2020,IRA,medio,0.998
52001,Pasto,22,2020,EDA,bajo,0.999
52683,Sandoná,22,2020,IRA,medio,0.998
52683,Sandoná,22,2020,EDA,bajo,0.999
52207,Consacá,22,2020,IRA,alto,0.999
52207,Consacá,22,2020,EDA,bajo,1.0
52299,La Florida,22,2020,IRA,alto,0.999
52299,La Florida,22,2020,EDA,bajo,0.999
52885,Yacuanquer,22,2020,IRA,alto,0.999
52885,Yacuanquer,22,2020,EDA,bajo,1.0
52480,Nariño,22,2020,IRA,alto,0.999
52480,Nariño,22,2020,EDA,medio,0.998
52001,Pasto,23,2020,IRA,medio,0.999
52001,Pasto,23,2020,EDA,bajo,0.999
52683,Sandoná,23,2020,IRA,alto,0.999
52683,Sandoná,23,2020,EDA,bajo,0.999
52207,Consacá,23,2020,IRA,medio,0.998
52207,Consacá,23,2020,EDA,bajo,1.0
52299,La Florida,23,2020,IRA,alto,0.999
52299,La Florida,23,2020,EDA,bajo,0.999
52885,Yacuanquer,23,2020,IRA,medio,0.998
52885,Yacuanquer,23,2020,EDA,bajo,1.0
52480,Nariño,23,2020,IRA,alto,0.999
52480,Nariño,23,2020,EDA,bajo,0.999
52001,Pasto,24,2020,IRA,medio,0.999
52001,Pasto,24,2020,EDA,medio,0.999
52683,Sandoná,24,2020,IRA,medio,0.999
52683,Sandoná,24,2020,EDA,bajo,0.999
52207,Consacá,24,2020,IRA,alto,0.999
52207,Consacá,24,2020,EDA,bajo,1.0
52299,La Florida,24,2020,IRA,alto,0.999
52299,La Florida,24,2020,EDA,bajo,0.999
52885,Yacuanquer,24,2020,IRA,alto,0.999
52885,Yacuanquer,24,2020,EDA,bajo,1.0
52480,Nariño,24,2020,IRA,alto,0.999
52480,Nariño,24,2020,EDA,bajo,0.999
52001,Pasto,25,2020,IRA,alto,0.999
52001,Pasto,25,2020,EDA,medio,0.999
52683,Sandoná,25,2020,IRA,medio,0.999
52683,Sandoná,25,2020,EDA,medio,0.999
52207,Consacá,25,2020,IRA,alto,0.999
52207,Consacá,25,2020,EDA,bajo,1.0
52299,La Florida,25,2020,IRA,medio,0.999
52299,La Florida,25,2020,EDA,medio,0.999
52885,Yacuanquer,25,2020,IRA,medio,0.998
52885,Yacuanquer,25,2020,EDA,bajo,1.0
52480,Nariño,25,2020,IRA,alto,0.999
52480,Nariño,25,2020,EDA,bajo,0.999
52001,Pasto,26,2020,IRA,medio,0.999
52001,Pasto,26,2020,EDA,medio,0.999
52683,Sandoná,26,2020,IRA,medio,0.999
52683,Sandoná,26,2020,EDA,bajo,0.999
52207,Consacá,26,2020,IRA,bajo,0.999
52207,Consacá,26,2020,EDA,bajo,1.0
52299,La Florida,26,2020,IRA,medio,0.999
52299,La Florida,26,2020,EDA,bajo,0.999
52885,Yacuanquer,26,2020,IRA,medio,0.999
52885,Yacuanquer,26,2020,EDA,bajo,1.0
52480,Nariño,26,2020,IRA,medio,0.999
52480,Nariño,26,2020,EDA,bajo,0.999
52001,Pasto,27,2020,IRA,medio,0.999
52001,Pasto,27,2020,EDA,medio,0.999
52683,Sandoná,27,2020,IRA,medio,0.999
52683,Sandoná,27,2020,EDA,medio,0.999
52207,Consacá,27,2020,IRA,bajo,0.999
52207,Consacá,27,2020,EDA,bajo,1.0
52299,La Florida,27,2020,IRA,medio,0.999
52299,La Florida,27,2020,EDA,bajo,0.999
52885,Yacuanquer,27,2020,IRA,alto,0.997
52885,Yacuanquer,27,2020,EDA,bajo,1.0
52480,Nariño,27,2020,IRA,medio,0.999
52480,Nariño,27,2020,EDA,medio,0.999
52001,Pasto,28,2020,IRA,medio,0.999
52001,Pasto,28,2020,EDA,medio,0.999
52683,Sandoná,28,2020,IRA,medio,0.999
52683,Sandoná,28,2020,EDA,medio,0.999
52207,Consacá,28,2020,IRA,bajo,0.999
52207,Consacá,28,2020,EDA,bajo,0.999
52299,La Florida,28,2020,IRA,medio,0.999
52299,La Florida,28,2020,EDA,medio,0.999
52885,Yacuanquer,28,2020,IRA,medio,0.999
52885,Yacuanquer,28,2020,EDA,bajo,0.999
52480,Nariño,28,2020,IRA,medio,0.999
52480,Nariño,28,2020,EDA,medio,0.999
52001,Pasto,29,2020,IRA,medio,0.999
52001,Pasto,29,2020,EDA,medio,0.999
52683,Sandoná,29,2020,IRA,medio,0.999
52683,Sandoná,29,2020,EDA,bajo,0.999
52207,Consacá,29,2020,IRA,bajo,0.999
52207,Consacá,29,2020,EDA,bajo,0.999
52299,La Florida,29,2020,IRA,bajo,0.999
52299,La Florida,29,2020,EDA,medio,0.999
52885,Yacuanquer,29,2020,IRA,bajo,0.999
52885,Yacuanquer,29,2020,EDA,bajo,0.999
52480,Nariño,29,2020,IRA,medio,0.999
52480,Nariño,29,2020,EDA,medio,0.999
52001,Pasto,30,2020,IRA,medio,0.999
52001,Pasto,30,2020,EDA,medio,1.0
52683,Sandoná,30,2020,IRA,medio,0.999
52683,Sandoná,30,2020,EDA,medio,0.999
52207,Consacá,30,2020,IRA,bajo,1.0
52207,Consacá,30,2020,EDA,medio,0.999
52299,La Florida,30,2020,IRA,bajo,0.999
52299,La Florida,30,2020,EDA,medio,0.999
52885,Yacuanquer,30,2020,IRA,bajo,1.0
52885,Yacuanquer,30,2020,EDA,bajo,0.999
52480,Nariño,30,2020,IRA,bajo,0.999
52480,Nariño,30,2020,EDA,medio,0.999
52001,Pasto,31,2020,IRA,bajo,0.999
52001,Pasto,31,2020,EDA,medio,0.999
52683,Sandoná,31,2020,IRA,medio,0.999
52683,Sandoná,31,2020,EDA,medio,1.0
52207,Consacá,31,2020,IRA,bajo,1.0
52207,Consacá,31,2020,EDA,bajo,0.999
52299,La Florida,31,2020,IRA,medio,0.998
52299,La Florida,31,2020,EDA,medio,0.999
52885,Yacuanquer,31,2020,IRA,bajo,0.999
52885,Yacuanquer,31,2020,EDA,bajo,0.999
52480,Nariño,31,2020,IRA,medio,0.999
52480,Nariño,31,2020,EDA,medio,0.999
52001,Pasto,32,2020,IRA,bajo,0.999
52001,Pasto,32,2020,EDA,medio,0.999
52683,Sandoná,32,2020,IRA,bajo,0.999
52683,Sandoná,32,2020,EDA,medio,0.999
52207,Consacá,32,2020,IRA,bajo,1.0
52207,Consacá,32,2020,EDA,medio,0.999
52299,La Florida,32,2020,IRA,bajo,0.999
52299,La Florida,32,2020,EDA,medio,0.999
52885,Yacuanquer,32,2020,IRA,bajo,1.0
52885,Yacuanquer,32,2020,EDA,medio,0.999
52480,Nariño,32,2020,IRA,bajo,0.999
52480,Nariño,32,2020,EDA,medio,1.0
52001,Pasto,33,2020,IRA,bajo,0.999
52001,Pasto,33,2020,EDA,medio,0.999
52683,Sandoná,33,2020,IRA,bajo,0.999
52683,Sandoná,33,2020,EDA,medio,0.999
52207,Consacá,33,2020,IRA,bajo,1.0
52207,Consacá,33,2020,EDA,medio,0.999
52299,La Florida,33,2020,IRA,bajo,0.999
52299,La Florida,33,2020,EDA,medio,0.999
52885,Yacuanquer,33,2020,IRA,bajo,1.0
52885,Yacuanquer,33,2020,EDA,medio,0.999
52480,Nariño,33,2020,IRA,bajo,0.999
52480,Nariño,33,2020,EDA,medio,0.999
52001,Pasto,34,2020,IRA,bajo,0.999
52001,Pasto,34,2020,EDA,medio,0.999
52683,Sandoná,34,2020,IRA,bajo,0.999
52683,Sandoná,34,2020,EDA,medio,0.999
52207,Consacá,34,2020,IRA,bajo,1.0
52207,Consacá,34,2020,EDA,medio,0.999
52299,La Florida,34,2020,IRA,bajo,0.999
52299,La Florida,34,2020,EDA,medio,0.999
52885,Yacuanquer,34,2020,IRA,bajo,1.0
52885,Yacuanquer,34,2020,EDA,medio,0.999
52480,Nariño,34,2020,IRA,bajo,0.999
52480,Nariño,34,2020,EDA,medio,0.999
52001,Pasto,35,2020,IRA,bajo,0.999
52001,Pasto,35,2020,EDA,alto,0.997
52683,Sandoná,35,2020,IRA,bajo,0.999
52683,Sandoná,35,2020,EDA,medio,0.999
52207,Consacá,35,2020,IRA,bajo,1.0
52207,Consacá,35,2020,EDA,bajo,0.999
52299,La Florida,35,2020,IRA,bajo,0.999
52299,La Florida,35,2020,EDA,alto,0.997
52885,Yacuanquer,35,2020,IRA,bajo,1.0
52885,Yacuanquer,35,2020,EDA,medio,0.999
52480,Nariño,35,2020,IRA,bajo,0.999
52480,Nariño,35,2020,EDA,medio,0.999
52001,Pasto,36,2020,IRA,bajo,0.999
52001,Pasto,36,2020,EDA,alto,0.998
52683,Sandoná,36,2020,IRA,bajo,0.999
52683,Sandoná,36,2020,EDA,medio,0.999
52207,Consacá,36,2020,IRA,bajo,1.0
52207,Consacá,36,2020,EDA,alto,0.998
52299,La Florida,36,2020,IRA,bajo,0.999
52299,La Florida,36,2020,EDA,alto,0.998
52885,Yacuanquer,36,2020,IRA,bajo,1.0
52885,Yacuanquer,36,2020,EDA,bajo,0.999
52480,Nariño,36,2020,IRA,bajo,0.999
52480,Nariño,36,2020,EDA,medio,0.999
52001,Pasto,37,2020,IRA,bajo,0.999
52001,Pasto,37,2020,EDA,medio,0.999
52683,Sandoná,37,2020,IRA,bajo,0.999
52683,Sandoná,37,2020,EDA,medio,0.999
52207,Consacá,37,2020,IRA,bajo,1.0
52207,Consacá,37,2020,EDA,alto,0.998
52299,La Florida,37,2020,IRA,bajo,0.999
52299,La Florida,37,2020,EDA,medio,0.999
52885,Yacuanquer,37,2020,IRA,bajo,1.0
52885,Yacuanquer,37,2020,EDA,bajo,0.999
52480,Nariño,37,2020,IRA,bajo,0.999
52480,Nariño,37,2020,EDA,medio,0.999
52001,Pasto,38,2020,IRA,bajo,0.999
52001,Pasto,38,2020,EDA,alto,0.998
52683,Sandoná,38,2020,IRA,bajo,0.999
52683,Sandoná,38,2020,EDA,medio,0.999
52207,Consacá,38,2020,IRA,bajo,1.0
52207,Consacá,38,2020,EDA,medio,0.999
52299,La Florida,38,2020,IRA,bajo,0.999
52299,La Florida,38,2020,EDA,alto,0.998
52885,Yacuanquer,38,2020,IRA,bajo,1.0
52885,Yacuanquer,38,2020,EDA,medio,0.999
52480,Nariño,38,2020,IRA,bajo,0.999
52480,Nariño,38,2020,EDA,medio,0.999
52001,Pasto,39,2020,IRA,bajo,0.999
52001,Pasto,39,2020,EDA,alto,0.998
52683,Sandoná,39,2020,IRA,bajo,0.999
52683,Sandoná,39,2020,EDA,medio,0.999
52207,Consacá,39,2020,IRA,bajo,1.0
52207,Consacá,39,2020,EDA,alto,0.998
52299,La Florida,39,2020,IRA,bajo,0.999
52299,La Florida,39,2020,EDA,medio,0.999
52885,Yacuanquer,39,2020,IRA,bajo,1.0
52885,Yacuanquer,39,2020,EDA,medio,0.999
52480,Nariño,39,2020,IRA,bajo,0.999
52480,Nariño,39,2020,EDA,medio,0.999
52001,Pasto,40,2020,IRA,medio,0.999
52001,Pasto,40,2020,EDA,alto,0.998
52683,Sandoná,40,2020,IRA,bajo,0.999
52683,Sandoná,40,2020,EDA,alto,0.998
52207,Consacá,40,2020,IRA,bajo,0.999
52207,Consacá,40,2020,EDA,alto,0.999
52299,La Florida,40,2020,IRA,bajo,0.999
52299,La Florida,40,2020,EDA,alto,0.998
52885,Yacuanquer,40,2020,IRA,bajo,0.999
52885,Yacuanquer,40,2020,EDA,medio,0.999
52480,Nariño,40,2020,IRA,bajo,0.999
52480,Nariño,40,2020,EDA,medio,0.999
52001,Pasto,41,2020,IRA,medio,0.999
52001,Pasto,41,2020,EDA,alto,0.998
52683,Sandoná,41,2020,IRA,bajo,0.999
52683,Sandoná,41,2020,EDA,medio,0.999
52207,Consacá,41,2020,IRA,bajo,0.999
52207,Consacá,41,2020,EDA,medio,0.999
52299,La Florida,41,2020,IRA,medio,0.999
52299,La Florida,41,2020,EDA,medio,0.999
52885,Yacuanquer,41,2020,IRA,bajo,0.999
52885,Yacuanquer,41,2020,EDA,medio,0.999
52480,Nariño,41,2020,IRA,bajo,0.999
52480,Nariño,41,2020,EDA,medio,0.999
52001,Pasto,42,2020,IRA,medio,0.999
52001,Pasto,42,2020,EDA,alto,0.998
52683,Sandoná,42,2020,IRA,medio,0.999
52683,Sandoná,42,2020,EDA,medio,0.999
52207,Consacá,42,2020,IRA,bajo,0.999
52207,Consacá,42,2020,EDA,alto,0.999
52299,La Florida,42,2020,IRA,bajo,0.999
52299,La Florida,42,2020,EDA,alto,0.998
52885,Yacuanquer,42,2020,IRA,bajo,0.999
52885,Yacuanquer,42,2020,EDA,medio,0.999
52480,Nariño,42,2020,IRA,medio,0.999
52480,Nariño,42,2020,EDA,medio,0.999
52001,Pasto,43,2020,IRA,medio,0.999
52001,Pasto,43,2020,EDA,alto,0.998
52683,Sandoná,43,2020,IRA,medio,0.999
52683,Sandoná,43,2020,EDA,alto,0.998
52207,Consacá,43,2020,IRA,bajo,0.999
52207,Consacá,43,2020,EDA,bajo,0.998
52299,La Florida,43,2020,IRA,bajo,0.999
52299,La Florida,43,2020,EDA,alto,0.998
52885,Yacuanquer,43,2020,IRA,bajo,0.999
52885,Yacuanquer,43,2020,EDA,bajo,0.998
52480,Nariño,43,2020,IRA,bajo,0.998
52480,Nariño,43,2020,EDA,medio,0.999
52001,Pasto,44,2020,IRA,medio,0.999
52001,Pasto,44,2020,EDA,medio,0.999
52683,Sandoná,44,2020,IRA,medio,0.999
52683,Sandoná,44,2020,EDA,medio,0.999
52207,Consacá,44,2020,IRA,medio,0.999
52207,Consacá,44,2020,EDA,alto,0.999
52299,La Florida,44,2020,IRA,medio,0.999
52299,La Florida,44,2020,EDA,medio,0.999
52885,Yacuanquer,44,2020,IRA,medio,0.999
52885,Yacuanquer,44,2020,EDA,alto,0.999
52480,Nariño,44,2020,IRA,medio,0.999
52480,Nariño,44,2020,EDA,alto,0.998
52001,Pasto,45,2020,IRA,medio,0.999
52001,Pasto,45,2020,EDA,alto,0.998
52683,Sandoná,45,2020,IRA,medio,0.999
52683,Sandoná,45,2020,EDA,medio,0.999
52207,Consacá,45,2020,IRA,bajo,0.998
52207,Consacá,45,2020,EDA,alto,0.999
52299,La Florida,45,2020,IRA,medio,0.999
52299,La Florida,45,2020,EDA,medio,0.999
52885,Yacuanquer,45,2020,IRA,medio,0.999
52885,Yacuanquer,45,2020,EDA,alto,0.999
52480,Nariño,45,2020,IRA,medio,0.999
52480,Nariño,45,2020,EDA,alto,0.998
52001,Pasto,46,2020,IRA,medio,0.999
52001,Pasto,46,2020,EDA,medio,0.999
52683,Sandoná,46,2020,IRA,medio,0.999
52683,Sandoná,46,2020,EDA,medio,0.999
52207,Consacá,46,2020,IRA,medio,0.999
52207,Consacá,46,2020,EDA,alto,0.999
52299,La Florida,46,2020,IRA,alto,0.998
52299,La Florida,46,2020,EDA,medio,0.999
52885,Yacuanquer,46,2020,IRA,alto,0.998
52885,Yacuanquer,46,2020,EDA,medio,0.999
52480,Nariño,46,2020,IRA,medio,0.999
52480,Nariño,46,2020,EDA,medio,0.999
52001,Pasto,47,2020,IRA,alto,0.999
52001,Pasto,47,2020,EDA,alto,0.998
